,index_k,company_code,company_name,date,stock_price,foreign_demand,equity_ratio,per,pbr,type_of_industry,type_of_market,accounting_period,market_capitalization,trading_value
46,47.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-28,273,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
47,48.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-29,264,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
48,49.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-01,277,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
49,50.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-02,279,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
50,51.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-03,295,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
51,52.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-04,282,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
52,53.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-05,286,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
53,54.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-08,287,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
54,55.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-09,293,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
55,56.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-10,293,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
56,57.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-11,298,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
57,58.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-12,317,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
58,59.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-15,329,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
59,60.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-16,380,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
60,61.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-17,366,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
61,62.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-18,341,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
62,63.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-04-19,360,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
63,1.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-21,1775,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
64,2.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-22,1782,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
65,3.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-23,1768,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
66,4.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-24,1801,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
67,5.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-25,1793,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
68,6.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-28,1780,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
69,7.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-29,1779,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
70,8.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-30,1774,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
71,9.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-01-31,1781,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
